Cleared/Open Items Symbol,Account,Reference,Trading partner,Document Number,Document type,Assignment,Business Area,Credit control area,Document Date,Posting Date,Special G/L Ind.,Net Due Date Symbol,Amount in Local Currency,Local Currency,Clearing Document,Text
,1018504,9019646,,1200049591,F6,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,19.7,USD,,
,1018504,9019647,,1200049592,F6,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,19.5,USD,,
,1018504,9019648,,1200049593,F6,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,19.7,USD,,
,1018504,9019649,,1200049594,F6,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,59.1,USD,,
,1018504,9019650,,1200049595,F6,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,24.75,USD,,
,1018504,9019651,,1200049596,F6,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,29.55,USD,,
,1018504,8126694,,1200050285,F1,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,-32.58,USD,,
,1018504,8126697,,1200050288,F1,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,-692.6,USD,,
,1018504,8126705,,1200050296,F1,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,-1004.01,USD,,
,1018504,8126706,,1200050297,F1,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,-4035.37,USD,,
,1018504,8126708,,1200050299,F1,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,-683.45,USD,,
,1018504,8126714,,1200050305,F1,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,-443.41,USD,,
,1018504,8126716,,1200050307,F1,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,-881.89,USD,,
,1018504,8126719,,1200050310,F1,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,-828.5,USD,,
,1018504,8126721,,1200050312,F1,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,-511.16,USD,,
,1018504,8126724,,1200050315,F1,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,-1477.07,USD,,
,1018504,8126732,,1200050324,F1,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,-1156.13,USD,,
,1018504,8126736,,1200050328,F1,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,-452.75,USD,,
,1018504,8126738,,1200050330,F1,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,-1263.27,USD,,
,1018504,8126739,,1200050331,F1,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,-528.05,USD,,
